mouth_width,mouth_height,mouth_aspect_ratio,left_eye_height,right_eye_height,eye_openness,eye_aspect_ratio,eyebrow_raise_left,eyebrow_raise_right,eyebrow_slant_left,eyebrow_slant_right,jaw_drop,nose_mouth_dist,mouth_corner_diff,label
0.7735084,0.14319047,0.35284057,0.043136794,0.040493224,0.041815013,0.26831245,0.2834272,0.2773958,0.5128662,0.49553338,1.2363706,0.2902813,0.017542053,happy
0.70894045,0.023853144,0.06640882,0.07117785,0.07587165,0.07352474,0.48991162,0.3065672,0.30551213,0.5095363,0.50228155,1.2463896,0.22074279,0.018946981,happy
0.67077714,0.11911708,0.3486988,0.047471557,0.04743775,0.04745465,0.32165575,0.2962438,0.28599238,0.5103359,0.4887019,1.3120853,0.35501328,0.06375944,happy
0.7382123,0.14012696,0.34029403,0.052694462,0.07065742,0.06167594,0.3781184,0.3067053,0.28741324,0.49152228,0.4443177,1.1708161,0.2616956,0.013491412,happy
0.71251106,0.16543569,0.43118733,0.07990961,0.083462656,0.08168613,0.49444357,0.2534404,0.27967027,0.46294585,0.4979727,1.2293124,0.29681614,0.031036125,happy
0.743009,0.15871842,0.39883754,0.080924876,0.07651095,0.07871792,0.48361444,0.29704985,0.2954176,0.50945604,0.5292638,1.3146099,0.35227323,0.016725972,happy
0.7672813,0.19049014,0.45228505,0.065021574,0.09024682,0.0776342,0.44570664,0.27985954,0.256882,0.50192034,0.46273568,1.2629174,0.3643802,0.021520307,happy
0.8410324,0.12587479,0.32985872,0.13311,0.08229117,0.10770059,0.7412494,0.31383058,0.32507023,0.5274285,0.5241107,1.3942251,0.27095997,0.05912038,happy
0.7792335,0.1571291,0.3955639,0.07741929,0.08395288,0.08068608,0.5195625,0.26288772,0.26904008,0.49854106,0.51384693,1.2999662,0.29127526,0.025819933,happy
0.72045034,0.15353346,0.42195398,0.070831396,0.06528461,0.06805801,0.43956771,0.30062675,0.29729447,0.51247627,0.49555945,1.3275377,0.3050442,0.011669716,happy
0.8676037,0.09463722,0.22473727,0.05991929,0.06024281,0.06008105,0.40856767,0.29749143,0.29570445,0.5128694,0.5117662,1.3382573,0.31366855,0.005867495,happy
0.81170666,0.17345844,0.43727744,0.07114809,0.06800399,0.06957604,0.46860823,0.29966226,0.30091542,0.5258797,0.5126206,1.4026324,0.3580833,0.010219239,happy
0.67368263,0.04109238,0.10951182,0.0761518,0.060011275,0.06808154,0.40439773,0.27143615,0.27619082,0.48948276,0.4791091,1.2456106,0.26376215,0.0044432846,happy
0.7146613,0.20329344,0.53730583,0.058861144,0.088691875,0.07377651,0.46119216,0.294728,0.2977864,0.51324433,0.50152284,1.1780305,0.2841352,0.013920431,happy
